driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.9,0.856,0.023,6049,True,2022-10-29 00:00:00,2026-05-13 17:41:05.864941
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.511,0.869,0.04,9102,True,2019-03-22 00:00:00,2026-05-13 17:41:05.865163
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,4.941,0.952,0.012,22075,True,2020-02-14 00:00:00,2026-05-13 17:41:05.865226
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.627,0.849,0.06,15477,True,2019-07-14 00:00:00,2026-05-13 17:41:05.865262
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.493,0.893,0.041,8872,True,2023-11-09 00:00:00,2026-05-13 17:41:05.865295
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.724,0.746,0.014,5513,True,2024-03-29 00:00:00,2026-05-13 17:41:05.865326
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.707,0.753,0.017,5685,True,2023-08-17 00:00:00,2026-05-13 17:41:05.865355
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.448,0.855,0.0,24866,True,2019-06-01 00:00:00,2026-05-13 17:41:05.865376
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.341,0.858,0.044,11548,True,2019-09-18 00:00:00,2026-05-13 17:41:05.865396
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.66,0.824,0.074,10070,True,2020-01-05 00:00:00,2026-05-13 17:41:05.865416
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.919,0.765,0.025,1437,True,2025-08-11 00:00:00,2026-05-13 17:41:05.865435
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.706,0.925,0.067,1040,True,2025-10-17 00:00:00,2026-05-13 17:41:05.865458
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.235,0.725,0.029,17755,True,2021-08-22 00:00:00,2026-05-13 17:41:05.865479
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.654,0.917,0.035,4033,True,2024-09-04 00:00:00,2026-05-13 17:41:05.865500
